response;frequency;median_income_per_year_in_usd;avg_years
Erlang;358;120000;13,6166
Clojure;658;109318;13,5282
LISP;342;96300;15,7712
Crystal;156;95979;16,2939
Scala;1097;95979;11,3123
Ruby;2732;94644;12,069
Elixir;979;94639;12,0428
Perl;863;92139;17,0784
Groovy;1540;92136;12,4844
F#;417;92000;13,1331
Go;4394;90000;11,0006
Rust;2910;87948;10,201
Fortran;269;84696;18,8359
Objective-C;957;84466,5;13,7843
Haskell;498;84456;10,9987
Bash/Shell;11371;82922;11,814
APL;119;80000;15,3167
COBOL;197;80000;18,231
Julia;400;80000;10,6912
PowerShell;4728;80000;12,439
Swift;1812;77848;11,4104
Lua;1085;77291,5;11,8355
SAS;172;77000;11,3788
Assembly;1126;76850,5;14,0951
Solidity;418;74352;9,1663
Python;15312;74127;10,3859
TypeScript;14462;72418;10,1933
C#;10704;71688;12,1403
SQL;19272;70572;11,8368
OCaml;124;70380;10,6381
R;1308;70328;10,4271
C;4664;69828;12,4754
Kotlin;3274;69375;10,052
C++;5936;69372;11,9458
JavaScript;23903;69318;10,8964
Java;10725;67543;10,824
HTML/CSS;19179;66564,5;10,8993
Delphi;1125;64860;21,8564
VBA;1535;64519;13,243
MATLAB;954;60000;9,9732
PHP;7148;53322;11,2397
Dart;1895;48552;9,3589
